date,val
01 Fev 2020,9386.5
17 Jul 2010,0.08584
18 Jul 2010,0.0808
19 Jul 2010,0.07474
20 Jul 2010,0.07921
21 Jul 2010,0.0505
22 Jul 2010,0.06262000000000001
23 Jul 2010,0.05454
24 Jul 2010,0.0505
25 Jul 2010,0.055999999999999994
25 Jul 2010,0.055999999999999994
26 Jul 2010,0.06
27 Jul 2010,0.0589
28 Jul 2010,0.0699
29 Jul 2010,0.0627
30 Jul 2010,0.06785
31 Jul 2010,0.0611
01 Ago 2010,0.06
02 Ago 2010,0.06
03 Ago 2010,0.057
04 Ago 2010,0.061
05 Ago 2010,0.0623
06 Ago 2010,0.059000000000000004
07 Ago 2010,0.0609
08 Ago 2010,0.071
09 Ago 2010,0.07
10 Ago 2010,0.067
11 Ago 2010,0.07
12 Ago 2010,0.0645
13 Ago 2010,0.067
14 Ago 2010,0.06529
15 Ago 2010,0.0655
16 Ago 2010,0.07
17 Ago 2010,0.068
18 Ago 2010,0.0667
19 Ago 2010,0.0655
20 Ago 2010,0.0664
21 Ago 2010,0.066
22 Ago 2010,0.06491
23 Ago 2010,0.065
24 Ago 2010,0.0648
25 Ago 2010,0.064
26 Ago 2010,0.065
27 Ago 2010,0.0641
28 Ago 2010,0.064
29 Ago 2010,0.06497
30 Ago 2010,0.06
31 Ago 2010,0.0629
01 Set 2010,0.0634
02 Set 2010,0.06085
03 Set 2010,0.06238
04 Set 2010,0.0616
05 Set 2010,0.0616
06 Set 2010,0.061
07 Set 2010,0.062
08 Set 2010,0.06111000000000001
09 Set 2010,0.0618
10 Set 2010,0.06366000000000001
11 Set 2010,0.0615
12 Set 2010,0.062189999999999995
13 Set 2010,0.061989999999999996
14 Set 2010,0.0604
15 Set 2010,0.0619
16 Set 2010,0.059000000000000004
17 Set 2010,0.061
18 Set 2010,0.0627
19 Set 2010,0.0621
20 Set 2010,0.06265
21 Set 2010,0.0622
22 Set 2010,0.062310000000000004
23 Set 2010,0.0622
23 Set 2010,0.0622
24 Set 2010,0.06202000000000001
25 Set 2010,0.062
26 Set 2010,0.0622
27 Set 2010,0.0619
28 Set 2010,0.06191
29 Set 2010,0.0619
30 Set 2010,0.061970000000000004
01 Out 2010,0.0614
02 Out 2010,0.06111000000000001
03 Out 2010,0.0613
04 Out 2010,0.0614
05 Out 2010,0.06281
06 Out 2010,0.067
07 Out 2010,0.08685
08 Out 2010,0.0938
09 Out 2010,0.0965
10 Out 2010,0.095
11 Out 2010,0.0949
12 Out 2010,0.105
13 Out 2010,0.102
14 Out 2010,0.105
15 Out 2010,0.10099999999999999
16 Out 2010,0.102
17 Out 2010,0.1024
18 Out 2010,0.09699999999999999
19 Out 2010,0.099
20 Out 2010,0.107
21 Out 2010,0.1025
22 Out 2010,0.1055
23 Out 2010,0.115
24 Out 2010,0.132
25 Out 2010,0.1503
26 Out 2010,0.1877
27 Out 2010,0.1731
28 Out 2010,0.19
29 Out 2010,0.1989
30 Out 2010,0.1925
31 Out 2010,0.1955
01 Nov 2010,0.1938
02 Nov 2010,0.1931
03 Nov 2010,0.23
04 Nov 2010,0.26
05 Nov 2010,0.39
06 Nov 2010,0.34
07 Nov 2010,0.243
08 Nov 2010,0.21
09 Nov 2010,0.24
10 Nov 2010,0.2231
11 Nov 2010,0.2682
12 Nov 2010,0.276
13 Nov 2010,0.27899999999999997
14 Nov 2010,0.2682
15 Nov 2010,0.223
16 Nov 2010,0.2299
17 Nov 2010,0.2678
18 Nov 2010,0.28
19 Nov 2010,0.28300000000000003
20 Nov 2010,0.2767
21 Nov 2010,0.2879
22 Nov 2010,0.2829
22 Nov 2010,0.2829
23 Nov 2010,0.28300000000000003
24 Nov 2010,0.28
25 Nov 2010,0.2844
26 Nov 2010,0.28300000000000003
27 Nov 2010,0.27
28 Nov 2010,0.2299
29 Nov 2010,0.2082
30 Nov 2010,0.2275
01 Dez 2010,0.255
02 Dez 2010,0.251
03 Dez 2010,0.205
04 Dez 2010,0.19
05 Dez 2010,0.204
06 Dez 2010,0.233
07 Dez 2010,0.2388
08 Dez 2010,0.2
09 Dez 2010,0.204
10 Dez 2010,0.228
11 Dez 2010,0.22
12 Dez 2010,0.2299
13 Dez 2010,0.2467
14 Dez 2010,0.23800000000000002
15 Dez 2010,0.25
16 Dez 2010,0.24
17 Dez 2010,0.24100000000000002
18 Dez 2010,0.2401
19 Dez 2010,0.267
20 Dez 2010,0.24
21 Dez 2010,0.25
22 Dez 2010,0.25
23 Dez 2010,0.248
24 Dez 2010,0.2499
25 Dez 2010,0.265
26 Dez 2010,0.265
27 Dez 2010,0.281
28 Dez 2010,0.3
29 Dez 2010,0.3
30 Dez 2010,0.3
31 Dez 2010,0.3
01 Jan 2011,0.3
02 Jan 2011,0.295
03 Jan 2011,0.2989
04 Jan 2011,0.299
05 Jan 2011,0.298
06 Jan 2011,0.32
07 Jan 2011,0.3229
08 Jan 2011,0.32299999999999995
09 Jan 2011,0.3266
10 Jan 2011,0.3266
11 Jan 2011,0.3188
12 Jan 2011,0.3176
13 Jan 2011,0.4
14 Jan 2011,0.386
15 Jan 2011,0.3868
16 Jan 2011,0.3495
17 Jan 2011,0.313
18 Jan 2011,0.313
19 Jan 2011,0.39
20 Jan 2011,0.4199
21 Jan 2011,0.4443
21 Jan 2011,0.4443
22 Jan 2011,0.4424
23 Jan 2011,0.4199
24 Jan 2011,0.41
25 Jan 2011,0.41700000000000004
26 Jan 2011,0.4212
27 Jan 2011,0.446
28 Jan 2011,0.439
29 Jan 2011,0.4799
30 Jan 2011,0.52
31 Jan 2011,0.7
01 Fev 2011,0.716
02 Fev 2011,0.69
03 Fev 2011,0.8109999999999999
04 Fev 2011,0.92
05 Fev 2011,0.8997
06 Fev 2011,0.89
07 Fev 2011,0.9179999999999999
08 Fev 2011,1.09
09 Fev 2011,0.9803
10 Fev 2011,1.07
11 Fev 2011,1.08
12 Fev 2011,1.05
13 Fev 2011,1.07
14 Fev 2011,1.05
15 Fev 2011,1.05
16 Fev 2011,1.04
17 Fev 2011,0.8989
18 Fev 2011,0.9490000000000001
19 Fev 2011,0.85
20 Fev 2011,0.8345
21 Fev 2011,0.8702
22 Fev 2011,0.9
23 Fev 2011,0.9974
24 Fev 2011,0.9111
25 Fev 2011,0.958
26 Fev 2011,0.89
27 Fev 2011,0.86
28 Fev 2011,0.9202
01 Mar 2011,0.9399
02 Mar 2011,0.9391
03 Mar 2011,0.9009999999999999
04 Mar 2011,0.9103
05 Mar 2011,0.8999
06 Mar 2011,0.885
07 Mar 2011,0.87
08 Mar 2011,0.8645
09 Mar 2011,0.9329
10 Mar 2011,0.88
11 Mar 2011,0.9179999999999999
12 Mar 2011,0.8925
13 Mar 2011,0.8949
14 Mar 2011,0.87
15 Mar 2011,0.86
16 Mar 2011,0.8254
17 Mar 2011,0.8165
18 Mar 2011,0.765
19 Mar 2011,0.7411
20 Mar 2011,0.759
21 Mar 2011,0.809
22 Mar 2011,0.8497
22 Mar 2011,0.8497
23 Mar 2011,0.8669
24 Mar 2011,0.8838
25 Mar 2011,0.8552
26 Mar 2011,0.82
27 Mar 2011,0.799
28 Mar 2011,0.7925
29 Mar 2011,0.7897
30 Mar 2011,0.7846
31 Mar 2011,0.7741
01 Abr 2011,0.782
02 Abr 2011,0.779
03 Abr 2011,0.68
04 Abr 2011,0.71
05 Abr 2011,0.74
06 Abr 2011,0.7538
07 Abr 2011,0.75
08 Abr 2011,0.73
09 Abr 2011,0.7369
10 Abr 2011,0.77
11 Abr 2011,0.86
12 Abr 2011,0.9225
13 Abr 2011,1.0
14 Abr 2011,0.9899
15 Abr 2011,1.05
16 Abr 2011,1.11
17 Abr 2011,1.16
18 Abr 2011,1.2
19 Abr 2011,1.14
20 Abr 2011,1.21
21 Abr 2011,1.41
22 Abr 2011,1.7
23 Abr 2011,1.63
24 Abr 2011,1.56
25 Abr 2011,1.79
26 Abr 2011,1.9
27 Abr 2011,2.21
28 Abr 2011,2.88
29 Abr 2011,3.5
30 Abr 2011,3.03
01 Mai 2011,3.2
02 Mai 2011,3.41
03 Mai 2011,3.41
04 Mai 2011,3.33
05 Mai 2011,3.45
06 Mai 2011,3.64
07 Mai 2011,3.87
08 Mai 2011,3.8
09 Mai 2011,5.81
10 Mai 2011,5.5
11 Mai 2011,6.3
12 Mai 2011,8.2
13 Mai 2011,7.2
14 Mai 2011,6.99
15 Mai 2011,8.03
16 Mai 2011,7.19
17 Mai 2011,6.88
18 Mai 2011,6.81
19 Mai 2011,5.59
20 Mai 2011,6.12
21 Mai 2011,6.69
21 Mai 2011,6.69
22 Mai 2011,7.15
23 Mai 2011,7.42
24 Mai 2011,8.4
25 Mai 2011,8.8
26 Mai 2011,8.5
27 Mai 2011,8.3
28 Mai 2011,8.43
29 Mai 2011,8.8
30 Mai 2011,8.74
31 Mai 2011,9.57
01 Jun 2011,10.6
02 Jun 2011,14.29
03 Jun 2011,18.89
04 Jun 2011,16.7
05 Jun 2011,18.55
06 Jun 2011,23.92
07 Jun 2011,29.6
08 Jun 2011,28.92
09 Jun 2011,23.95
10 Jun 2011,14.65
11 Jun 2011,18.55
12 Jun 2011,19.84
13 Jun 2011,19.28
14 Jun 2011,19.49
15 Jun 2011,17.0
16 Jun 2011,15.68
17 Jun 2011,16.89
18 Jun 2011,17.51
19 Jun 2011,17.51
20 Jun 2011,17.51
21 Jun 2011,17.51
22 Jun 2011,17.51
23 Jun 2011,17.51
24 Jun 2011,17.51
25 Jun 2011,16.45
26 Jun 2011,16.75
27 Jun 2011,16.95
28 Jun 2011,16.85
29 Jun 2011,16.1
30 Jun 2011,15.4
01 Jul 2011,15.4
02 Jul 2011,15.44
03 Jul 2011,13.86
04 Jul 2011,12.91
05 Jul 2011,14.78
06 Jul 2011,14.78
07 Jul 2011,14.31
08 Jul 2011,14.38
09 Jul 2011,14.9
10 Jul 2011,14.21
11 Jul 2011,14.01
12 Jul 2011,13.95
13 Jul 2011,13.99
14 Jul 2011,13.81
15 Jul 2011,13.72
16 Jul 2011,13.16
17 Jul 2011,13.48
18 Jul 2011,13.85
19 Jul 2011,13.69
20 Jul 2011,13.61
20 Jul 2011,13.61
21 Jul 2011,13.7
22 Jul 2011,13.68
23 Jul 2011,13.98
24 Jul 2011,14.05
25 Jul 2011,13.88
26 Jul 2011,13.94
27 Jul 2011,13.49
28 Jul 2011,13.5
29 Jul 2011,13.53
30 Jul 2011,13.35
31 Jul 2011,13.09
01 Ago 2011,12.05
02 Ago 2011,9.26
03 Ago 2011,10.75
04 Ago 2011,9.8
05 Ago 2011,6.55
06 Ago 2011,7.9
07 Ago 2011,7.8
08 Ago 2011,9.99
09 Ago 2011,9.98
10 Ago 2011,9.46
11 Ago 2011,9.46
12 Ago 2011,10.13
13 Ago 2011,10.8
14 Ago 2011,11.15
15 Ago 2011,10.96
16 Ago 2011,10.95
17 Ago 2011,10.83
18 Ago 2011,11.65
19 Ago 2011,11.45
20 Ago 2011,11.31
21 Ago 2011,10.9
22 Ago 2011,10.94
23 Ago 2011,10.85
24 Ago 2011,9.66
25 Ago 2011,8.18
26 Ago 2011,8.59
27 Ago 2011,9.07
28 Ago 2011,8.97
29 Ago 2011,8.79
30 Ago 2011,8.2
31 Ago 2011,8.21
01 Set 2011,8.64
02 Set 2011,8.48
03 Set 2011,8.18
04 Set 2011,7.61
05 Set 2011,6.86
06 Set 2011,7.19
07 Set 2011,6.53
08 Set 2011,5.03
09 Set 2011,4.77
10 Set 2011,5.86
11 Set 2011,6.08
12 Set 2011,5.8
13 Set 2011,5.62
14 Set 2011,4.84
15 Set 2011,4.82
16 Set 2011,4.77
17 Set 2011,5.2
18 Set 2011,5.46
18 Set 2011,5.46
19 Set 2011,6.11
20 Set 2011,5.61
21 Set 2011,5.43
22 Set 2011,5.55
23 Set 2011,5.47
24 Set 2011,5.33
25 Set 2011,4.87
26 Set 2011,4.92
27 Set 2011,4.77
28 Set 2011,4.78
29 Set 2011,5.14
30 Set 2011,5.03
01 Out 2011,5.03
02 Out 2011,5.02
03 Out 2011,4.96
04 Out 2011,4.87
05 Out 2011,4.73
06 Out 2011,4.27
07 Out 2011,4.01
08 Out 2011,4.1
09 Out 2011,4.1
10 Out 2011,3.93
11 Out 2011,4.15
12 Out 2011,4.05
13 Out 2011,3.99
14 Out 2011,3.84
15 Out 2011,3.56
16 Out 2011,2.56
17 Out 2011,2.42
18 Out 2011,2.27
19 Out 2011,2.35
