date,val
13.06.2013,269.0
14.06.2013,248.0
15.06.2013,260.0
16.06.2013,257.4
17.06.2013,252.0
18.06.2013,263.0
19.06.2013,260.0
20.06.2013,269.0
21.06.2013,268.0
22.06.2013,267.3
23.06.2013,251.0
24.06.2013,259.0
25.06.2013,268.5
26.06.2013,264.9
27.06.2013,259.0
28.06.2013,254.6
29.06.2013,230.0
30.06.2013,247.0
01.07.2013,233.9
02.07.2013,229.8
03.07.2013,210.0
04.07.2013,255.0
05.07.2013,219.0
06.07.2013,200.0
07.07.2013,209.0
08.07.2013,212.5
09.07.2013,196.5
10.07.2013,209.0
11.07.2013,212.9
12.07.2013,240.0
13.07.2013,219.2
14.07.2013,225.0
15.07.2013,234.0
16.07.2013,222.2
17.07.2013,225.0
18.07.2013,223.0
19.07.2013,224.0
20.07.2013,220.1
21.07.2013,223.0
22.07.2013,220.0
23.07.2013,218.0
24.07.2013,221.0
25.07.2013,218.6
26.07.2013,218.0
27.07.2013,217.3
28.07.2013,221.0
29.07.2013,225.8
30.07.2013,232.0
31.07.2013,230.0
01.08.2013,236.0
02.08.2013,240.0
03.08.2013,235.0
04.08.2013,232.2
05.08.2013,240.0
06.08.2013,230.0
07.08.2013,237.8
08.08.2013,236.0
09.08.2013,230.0
10.08.2013,218.0
11.08.2013,212.5
12.08.2013,232.2
13.08.2013,240.0
14.08.2013,243.0
15.08.2013,249.5
16.08.2013,248.0
17.08.2013,248.0
18.08.2013,249.0
19.08.2013,270.0
20.08.2013,275.0
21.08.2013,285.0
22.08.2013,286.0
23.08.2013,289.0
24.08.2013,276.0
25.08.2013,273.0
26.08.2013,283.5
27.08.2013,304.0
28.08.2013,302.0
29.08.2013,311.0
30.08.2013,320.0
31.08.2013,345.0
01.09.2013,337.0
02.09.2013,347.8
03.09.2013,342.0
04.09.2013,320.0
05.09.2013,320.0
06.09.2013,304.0
07.09.2013,309.4
08.09.2013,261.2
09.09.2013,301.0
10.09.2013,308.9
11.09.2013,301.2
12.09.2013,317.0
13.09.2013,306.0
14.09.2013,303.0
15.09.2013,307.0
16.09.2013,319.3
17.09.2013,318.9
18.09.2013,318.9
19.09.2013,312.9
20.09.2013,313.0
21.09.2013,316.9
22.09.2013,298.0
23.09.2013,313.0
24.09.2013,303.7
25.09.2013,312.0
26.09.2013,314.0
27.09.2013,330.0
28.09.2013,330.0
29.09.2013,343.9
30.09.2013,335.4
01.10.2013,329.0
02.10.2013,270.0
03.10.2013,299.7
04.10.2013,300.0
05.10.2013,300.0
06.10.2013,298.0
07.10.2013,315.0
08.10.2013,308.0
09.10.2013,303.0
10.10.2013,314.9
11.10.2013,312.0
12.10.2013,312.2
13.10.2013,306.0
14.10.2013,331.0
15.10.2013,355.0
16.10.2013,343.6
17.10.2013,349.0
18.10.2013,358.4
19.10.2013,434.9
20.10.2013,416.0
21.10.2013,416.0
22.10.2013,420.0
23.10.2013,497.0
24.10.2013,445.0
25.10.2013,464.0
26.10.2013,450.0
27.10.2013,455.0
28.10.2013,445.0
29.10.2013,489.0
30.10.2013,470.0
31.10.2013,484.8
01.11.2013,489.0
02.11.2013,485.0
03.11.2013,513.2
04.11.2013,629.8
05.11.2013,641.0
06.11.2013,678.0
07.11.2013,770.0
08.11.2013,919.0
09.11.2013,870.0
10.11.2013,850.0
11.11.2013,937.0
12.11.2013,903.2
13.11.2013,1130.0
14.11.2013,1125.0
15.11.2013,1148.0
16.11.2013,1147.0
17.11.2013,1274.0
18.11.2013,1850.0
19.11.2013,1779.8
20.11.2013,1620.0
21.11.2013,1810.0
22.11.2013,1948.0
23.11.2013,1960.0
24.11.2013,1946.5
25.11.2013,1980.0
26.11.2013,2108.0
27.11.2013,2775.0
28.11.2013,3250.0
29.11.2013,3317.0
30.11.2013,3090.0
01.12.2013,2622.3
02.12.2013,2850.0
03.12.2013,2980.0
04.12.2013,3000.0
05.12.2013,2930.0
06.12.2013,2450.0
07.12.2013,1990.0
08.12.2013,2108.0
09.12.2013,2330.0
10.12.2013,2490.0
11.12.2013,2291.0
12.12.2013,2203.0
13.12.2013,2140.0
14.12.2013,2180.0
15.12.2013,2094.9
16.12.2013,1785.0
17.12.2013,1750.0
18.12.2013,1421.0
19.12.2013,1863.3
20.12.2013,1600.0
21.12.2013,1609.0
22.12.2013,1642.0
23.12.2013,1748.0
24.12.2013,1749.5
25.12.2013,1691.0
26.12.2013,1890.0
27.12.2013,1803.0
28.12.2013,1866.3
29.12.2013,1868.6
30.12.2013,1850.0
31.12.2013,1850.0
01.01.2014,1870.0
02.01.2014,1935.0
03.01.2014,2106.0
04.01.2014,2150.0
05.01.2014,2240.0
06.01.2014,2295.0
07.01.2014,2159.0
08.01.2014,2129.9
09.01.2014,2199.3
10.01.2014,2100.0
11.01.2014,2200.0
12.01.2014,2100.0
13.01.2014,2083.0
14.01.2014,2046.0
15.01.2014,1938.0
16.01.2014,1998.0
17.01.2014,1943.5
18.01.2014,1950.0
19.01.2014,1950.0
20.01.2014,1900.0
21.01.2014,1933.3
